0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,23,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,25,0,0,0,0
0,0,0,0,1,0,0,1,1,1,110,0,0,0,0,0,39,0,0,0,1
0,0,0,0,0,0,0,2,0,2,29,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,32,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,24,0,0,0,0
0,0,0,0,0,0,0,2,0,3,69,0,0,1,1,0,30,0,0,0,0
1,0,0,0,1,0,0,0,0,1,83,0,0,0,0,0,24,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,20,0,0,0,1
0,0,0,1,0,0,1,0,0,1,34,0,0,0,0,0,71,0,0,0,0
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,24,0,0,0,0
0,0,0,1,0,0,0,0,0,2,26,0,0,1,0,0,16,0,0,0,0
0,0,0,1,0,0,0,2,0,1,110,0,0,0,0,0,17,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,17,0,0,0,0
0,0,0,0,1,0,0,1,1,1,164,0,0,1,0,0,45,0,0,0,1
1,1,0,0,1,0,0,0,0,3,9,0,0,1,0,0,20,0,0,0,0
0,0,0,1,0,0,0,0,0,3,6,0,0,1,0,0,43,0,0,0,0
0,0,0,0,0,0,0,1,0,3,15,0,0,1,1,0,3,0,0,0,1
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,1,40,0,0,0,0,0,36,0,0,0,0
0,0,0,0,1,0,0,0,1,3,18,0,0,1,0,0,31,0,0,0,0
0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,57,0,0,0,0
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,30,0,0,0,1
0,0,0,1,0,0,0,0,0,3,14,0,0,1,0,0,19,0,0,0,0
1,0,0,0,1,0,0,2,0,2,27,0,0,1,0,0,5,0,0,0,1
0,0,0,1,0,0,0,0,0,1,55,0,0,1,0,0,50,0,0,0,0
1,0,0,0,1,0,0,0,0,1,151,0,0,1,0,0,22,0,0,0,1
0,0,0,0,1,0,0,0,1,1,52,0,0,1,0,0,35,0,0,0,1
0,0,0,0,1,0,0,0,1,2,26,0,0,1,0,0,42,0,0,0,1
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,34,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,32,0,0,0,0
0,0,0,1,0,0,0,0,0,2,15,0,0,1,0,0,47,0,0,0,0
0,0,0,0,1,0,0,2,1,3,22,0,0,0,0,0,17,0,0,0,1
0,0,0,1,0,0,0,2,0,3,23,0,0,1,0,0,29,0,0,1,0
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,24,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,35,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,40,0,0,0,0
0,0,0,1,0,0,0,0,0,3,24,0,0,0,0,0,34,0,0,0,0
0,0,0,0,0,0,0,1,0,3,39,0,0,1,1,0,7,0,0,0,0
0,0,0,1,0,0,0,2,0,3,20,0,0,1,0,0,26,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,59,0,0,0,0
0,0,0,1,0,0,0,0,0,1,53,0,0,1,0,0,27,0,0,0,1
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,26,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,0,1,0,2,18,0,0,1,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,25,0,0,0,0
0,0,0,1,0,0,0,0,0,2,26,0,0,1,0,0,39,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,26,0,0,0,1
0,0,0,0,1,0,1,0,0,1,69,0,0,0,0,0,24,0,0,0,1
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,23,0,0,0,0
0,0,0,0,0,0,0,2,0,3,27,0,0,1,1,0,10,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,17,0,0,0,0
1,0,0,0,1,0,0,1,0,3,11,0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,47,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,25,0,0,0,0
0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,33,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,23,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,33,0,0,0,0
0,0,0,0,1,0,0,2,1,3,15,0,0,0,0,0,29,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,2,30,0,0,0,0,0,32,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,33,0,0,0,0
0,0,0,0,1,0,0,1,1,2,26,0,0,1,0,0,31,0,0,0,1
0,0,0,0,1,0,0,0,1,3,7,0,0,0,0,0,31,0,0,0,1
1,0,0,0,1,0,0,1,0,3,22,0,0,0,0,0,24,0,0,0,1
0,0,0,0,0,0,1,0,0,1,133,0,0,1,0,0,50,0,0,0,1
0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,36,0,0,0,0
0,0,0,0,1,0,1,0,0,1,49,0,0,0,0,0,24,0,0,0,1
0,0,0,0,1,0,0,0,1,1,91,0,0,0,0,0,19,0,0,0,1
0,0,0,0,1,0,0,0,1,1,80,0,0,0,0,0,62,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,38,0,0,0,0
0,0,0,0,0,0,0,2,0,3,20,0,0,1,1,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,22,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,34,0,0,0,0
0,0,0,0,1,0,0,2,1,2,41,0,0,0,0,0,22,0,0,0,1
0,0,1,0,0,0,0,2,0,1,81,0,0,1,1,0,4,0,0,0,1
1,0,0,0,1,0,0,1,0,3,21,0,0,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,2,26,0,0,1,0,0,54,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,28,0,0,0,0
0,0,0,1,0,0,1,0,0,1,227,0,0,0,0,0,48,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,2,26,0,0,1,0,0,43,0,0,0,0
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,66,0,0,0,0
0,0,0,0,0,0,0,1,0,3,25,0,0,1,1,0,18,0,0,0,0
1,0,0,0,1,0,0,0,0,3,9,0,0,1,0,0,18,0,0,0,1
0,0,0,0,0,0,0,1,0,2,14,0,0,1,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,21,0,0,0,0
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,19,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,50,0,0,0,0
1,0,0,0,1,0,0,0,0,3,9,0,0,1,0,0,22,0,0,0,0
0,0,0,1,0,0,1,0,0,1,79,0,0,0,0,0,24,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,39,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,18,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,18,0,0,0,0
0,0,0,1,0,0,0,1,0,3,39,0,0,1,0,0,16,0,0,0,0
0,0,0,1,0,0,0,0,0,2,24,0,0,0,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,30,0,0,0,0
0,0,0,0,1,0,0,0,1,3,9,0,0,1,0,0,63,0,0,0,1
0,0,0,1,0,0,0,0,0,1,30,0,0,1,0,0,29,0,0,1,0
0,0,0,1,0,0,1,1,0,1,153,0,0,1,0,0,38,0,0,0,0
0,0,0,1,0,0,1,0,0,1,25,0,0,1,0,0,45,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,21,0,0,0,0
0,0,0,1,0,0,1,0,0,1,108,0,0,0,0,0,18,0,0,0,0
1,0,0,0,1,0,0,0,0,2,13,0,0,1,0,0,40,0,0,0,1
1,0,0,0,1,0,0,2,0,1,79,0,0,1,0,0,18,0,0,0,1
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,24,0,0,0,0
0,0,0,0,0,0,0,1,0,3,29,0,0,0,1,0,7,0,0,0,0
1,0,0,0,1,0,0,2,0,2,41,0,0,0,0,0,3,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,59,0,0,0,0
0,0,0,0,1,0,0,1,1,1,134,0,0,0,0,0,40,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,32,0,0,0,0
0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0,56,0,0,0,0
1,0,0,0,1,0,1,0,0,1,135,0,0,0,0,0,36,0,0,0,1
0,0,0,0,1,0,0,0,1,1,25,0,0,1,0,0,48,0,0,0,1
0,0,0,1,0,0,0,1,0,3,7,0,0,1,0,0,18,0,0,0,0
0,0,0,0,0,0,0,1,0,3,29,0,0,0,1,0,8,0,0,1,0
1,0,0,0,1,0,0,0,0,1,113,0,0,0,0,0,31,0,0,0,1
0,0,0,1,0,0,0,0,0,3,24,0,0,0,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,3,15,0,0,0,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,36,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,19,0,0,0,1
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,25,0,0,0,0
0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,31,0,0,0,0
1,0,0,0,1,0,0,2,0,3,31,0,0,1,0,0,5,0,0,0,1
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,29,0,0,0,0
1,0,0,0,1,0,0,0,0,3,24,0,0,0,0,0,38,0,0,0,1
0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,49,0,0,0,0
0,0,0,1,0,0,0,1,0,3,14,0,0,1,0,0,34,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,30,0,0,0,0
0,0,0,0,0,0,0,0,0,1,30,0,0,1,0,0,52,0,0,0,1
0,0,0,0,1,0,0,0,0,1,25,0,0,1,0,0,49,0,0,0,1
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,45,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,32,0,0,0,0
0,0,0,0,0,0,0,2,0,2,37,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,0,0,1,2,26,0,0,1,0,0,44,0,0,0,0
0,0,0,1,0,0,0,0,0,3,56,0,0,1,0,0,4,0,1,0,1
0,0,0,0,0,0,0,2,0,1,151,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,3,1,3,19,0,0,0,0,0,24,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,34,1,0,0,0
1,0,0,0,1,0,0,0,0,2,10,0,0,1,0,0,21,0,0,0,1
0,0,0,1,0,0,0,0,0,2,26,0,0,1,0,0,35,0,0,0,0
0,0,0,0,0,0,0,1,0,2,33,0,0,1,0,0,28,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,37,0,0,0,1
1,0,0,0,1,0,0,0,0,1,30,0,0,1,0,0,19,0,0,0,1
1,0,0,0,1,0,0,1,0,3,25,0,0,1,0,0,21,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,26,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,22,0,0,0,0
0,0,0,1,0,0,0,0,0,1,90,0,0,1,0,0,38,0,0,0,1
1,0,0,0,1,0,0,0,0,1,76,0,0,0,0,0,32,0,0,0,1
0,0,0,1,0,0,0,0,0,3,10,0,0,1,0,0,19,0,0,0,0
0,0,0,0,1,0,0,1,1,2,32,0,0,1,0,0,34,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,26,0,0,0,0
1,0,0,0,1,0,0,1,0,3,14,0,0,0,0,0,18,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,40,0,0,0,1
0,0,0,0,1,0,0,0,1,1,53,0,0,1,0,0,33,0,0,0,1
1,0,0,0,1,0,0,2,0,3,31,0,0,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,1,0,2,18,0,0,1,1,0,3,0,0,0,1
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,22,0,0,0,0
0,0,0,1,0,0,1,1,0,1,61,0,0,0,0,0,51,0,0,0,0
0,0,0,0,1,0,0,1,1,3,9,0,0,1,0,0,18,0,0,0,1
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,50,0,0,0,0
0,0,0,1,0,0,0,0,0,3,15,0,0,0,0,0,35,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,31,0,0,0,1
0,0,0,0,1,0,0,2,1,3,15,0,0,0,0,0,24,0,0,0,0
0,0,0,0,1,0,0,0,1,1,78,0,0,0,0,0,52,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,0,0,0,35,0,0,0,0
0,0,0,0,1,0,0,2,1,3,20,0,0,1,0,0,41,0,0,0,0
0,0,0,0,1,0,0,0,1,2,21,0,0,1,0,0,27,0,0,0,0
1,0,0,0,1,0,0,1,0,3,19,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,2,1,2,65,0,0,1,0,0,48,0,0,0,1
0,0,0,1,0,0,1,0,0,1,82,0,0,0,0,0,28,0,0,0,0
1,0,0,0,1,0,0,1,0,2,39,0,0,1,0,0,4,0,0,0,1
0,0,0,1,0,0,0,0,0,1,26,0,0,0,0,0,35,0,0,0,1
0,0,0,1,0,0,0,0,0,1,28,0,0,1,0,0,45,0,0,0,0
0,0,0,1,0,0,0,0,0,3,16,0,0,1,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,30,0,0,0,0
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,64,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,13,0,0,0,1
0,0,0,1,0,0,0,0,0,2,21,0,0,1,0,0,34,0,0,0,0
1,0,0,0,1,0,0,0,0,3,8,0,0,0,0,0,15,0,0,0,1
0,0,0,0,1,0,0,2,1,1,120,0,0,1,0,0,36,0,0,0,1
0,0,0,1,0,0,0,2,0,3,69,0,0,1,0,0,28,0,0,0,0
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,51,0,0,0,1
1,0,0,0,1,0,0,2,0,1,49,0,0,0,0,0,22,0,0,0,1
0,0,0,0,1,0,0,0,1,1,77,0,0,1,0,0,51,0,0,0,1
0,0,0,0,1,0,0,0,1,2,26,0,0,1,0,1,29,0,0,0,1
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,20,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,43,0,0,0,0
0,0,0,1,0,0,0,0,0,2,11,0,0,1,0,0,18,0,0,0,0
0,0,0,0,1,0,1,0,1,1,133,0,0,1,0,0,16,0,0,0,1
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,26,0,0,0,0
0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,23,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,21,0,0,0,0
0,0,0,1,0,0,0,1,0,3,8,0,0,1,0,0,42,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,50,0,0,0,0
1,0,0,0,1,0,0,2,0,3,31,0,0,1,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,25,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,24,0,0,0,0
0,0,0,1,0,0,0,0,0,3,6,0,0,1,0,0,61,0,0,0,0
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,31,0,0,0,0
0,0,0,0,1,0,0,0,1,3,7,0,0,0,0,0,60,0,0,0,1
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,23,0,0,0,0
0,0,0,1,0,0,0,1,0,2,36,0,0,1,0,0,19,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,65,0,0,0,0
0,0,0,1,0,0,0,0,0,3,19,0,0,1,0,0,9,0,0,0,0
1,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,22,0,0,0,1
0,0,0,1,0,0,0,0,0,2,11,0,0,1,0,0,18,0,0,0,0
0,0,0,1,0,0,0,1,0,1,77,0,0,1,0,0,54,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,44,0,0,0,0
0,1,0,1,0,0,0,0,0,1,52,0,0,1,0,0,47,0,0,0,0
0,0,0,1,0,0,0,0,0,2,73,0,0,1,0,0,21,0,0,0,0
0,0,0,1,0,0,0,0,0,2,10,0,0,1,0,0,29,0,0,0,0
0,0,0,1,0,0,0,0,0,3,24,0,0,1,0,0,39,0,0,0,0
0,0,0,0,1,0,0,5,1,3,29,0,0,0,0,0,39,0,0,0,0
0,0,0,1,0,0,0,0,0,3,15,0,0,1,0,0,36,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,16,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,30,0,0,0,0
0,0,0,0,1,0,0,0,1,3,14,0,0,1,0,0,47,0,0,0,0
1,0,0,0,1,0,0,0,0,1,80,0,0,0,0,0,38,0,0,0,1
0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,36,0,0,0,0
0,0,0,0,1,0,0,2,1,3,11,0,0,1,0,0,27,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,5,0,0,0,0
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,34,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,31,0,0,0,0
1,0,0,0,1,0,0,1,0,3,21,0,0,1,0,0,8,0,0,0,0
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,56,0,0,0,0
0,0,0,0,1,0,0,1,1,2,27,0,0,1,0,0,24,0,0,0,1
1,0,0,0,1,0,0,0,0,1,113,0,0,0,0,0,23,0,0,0,1
1,0,0,0,1,0,0,0,0,2,13,0,0,1,0,0,30,0,0,0,1
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,48,1,0,0,1
0,0,0,1,0,0,0,0,0,3,23,0,0,0,0,0,50,0,0,0,1
0,0,0,1,0,0,0,0,0,3,8,0,0,1,0,0,51,0,0,0,0
1,1,0,0,1,0,0,0,0,3,14,0,0,0,0,0,14,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,39,0,0,0,0
0,0,0,1,0,0,0,0,0,1,26,0,0,1,0,0,24,0,0,0,0
0,0,0,1,0,0,0,0,0,2,27,0,0,1,0,0,42,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,30,0,0,0,0
0,0,0,0,0,0,0,1,0,3,29,0,0,0,1,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,2,12,0,0,1,0,0,51,0,0,0,0
0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,9,0,0,0,0
0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,20,0,0,0,0
0,0,0,1,0,0,1,0,0,1,30,0,0,0,0,0,16,0,0,0,0
0,0,0,1,0,0,0,0,0,3,8,0,0,0,0,0,36,0,0,0,0
0,0,0,0,1,0,0,0,1,2,15,0,0,1,0,0,40,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,35,0,0,0,0
0,0,0,0,1,0,0,0,1,1,89,1,0,0,0,0,28,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,21,0,0,0,0
0,0,0,1,0,0,1,0,0,1,76,0,0,0,0,1,48,0,0,0,1
0,0,0,1,0,0,0,0,0,3,14,0,0,0,0,0,26,0,0,0,0
0,0,0,0,1,0,0,1,1,3,14,0,0,0,0,0,45,0,0,0,0
0,0,0,1,0,0,0,1,0,3,20,0,0,1,0,0,33,0,0,0,0
0,0,0,0,1,0,0,0,1,2,26,0,0,1,0,0,24,0,0,0,1
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,29,0,0,0,1
0,0,0,0,1,0,0,0,1,3,16,0,0,1,0,0,26,0,0,0,0
1,0,0,0,1,0,0,0,0,3,12,0,0,1,0,0,30,0,0,0,1
0,0,0,1,0,0,0,0,0,2,13,0,0,1,0,0,31,0,0,0,1
0,0,0,1,0,0,0,5,0,3,31,0,0,1,0,0,39,0,0,0,0
0,0,0,1,0,0,0,0,0,3,9,0,0,1,0,0,28,0,0,0,0
0,0,0,1,0,0,1,1,0,1,29,0,0,0,0,0,37,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,18,0,0,0,0
0,0,0,0,0,0,0,2,0,3,31,1,0,1,1,0,4,0,0,0,0
0,0,0,0,1,0,0,3,1,2,23,0,0,1,0,0,54,0,0,0,1
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,38,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,25,0,0,1,0
1,0,0,0,1,0,0,1,0,3,16,0,0,1,0,0,4,0,0,0,1
0,0,0,1,0,0,0,0,0,1,51,0,0,1,0,0,54,0,0,0,0
0,0,0,1,0,0,0,0,0,3,7,0,0,1,0,0,28,0,0,0,0
1,0,0,0,1,0,0,2,0,1,71,0,0,1,0,0,36,0,0,0,1
1,0,0,0,1,0,0,0,0,3,7,0,0,1,0,0,14,0,0,0,0
